Timestamp,Gender,Level of Study,Age,Field of Study,CGPA,How often do you take exams?,Which system allows you to better demonstrate your understanding?,Which exam type causes you more stress?,If you could design the perfect examination system for your field what features would it include?,MCQ exams are fair because grading is objective.,Written exams are fair despite potential subjectivity. ,MCQ exams accurately reflect my knowledge.,Guessing can improve scores in MCQ exams.   ,Written exams encourage deeper understanding.   ,MCQ exams are easier to prepare for than written exams.   ,Written exams better measure understanding.   ,I often run out of time during written exams.  ,I experience higher stress during written exams than MCQ exams.  
4/23/2026 14:11:16,Female,Undergraduate,18-22,Data science ,2.67,Very often,Written exams,Written exams,Written and MCQ,4,2,3,5,5,4,4,4,5
4/23/2026 14:11:20,Female,Undergraduate,18-22,Computing and data science,3.4,Sometimes,Written exams,Written exams,Mcq and written questions both equally,5,3,2,2,4,5,4,2,4
4/23/2026 14:15:00,Male,Undergraduate,18-22,Data science ,2.07,Very often,Written exams,Written exams,Let's be honest i have no idea,2,4,5,3,2,5,3,5,5
4/23/2026 14:15:32,Male,Undergraduate,18-22,General ,2.2,Rearely,Written exams,Written exams,I’d know ,2,4,5,3,3,3,3,3,3
4/23/2026 14:15:52,Male,Undergraduate,18-22,Data Science ,2.3569,Very often,MCQ exams,Written exams,No written وكسم محمد وليد ,5,1,4,5,1,5,1,5,5
4/23/2026 14:17:40,Male,Undergraduate,18-22,Computer & data science ,3.03,Very often,Both equally,Written exams,MCQ,5,3,3,1,2,4,3,4,4
4/23/2026 14:20:38,Female,Undergraduate,18-22,data science ,2.8,Very often,MCQ exams,Both equally,carry out more tasks that goes with job market,4,3,4,3,2,1,3,4,4
4/23/2026 14:20:44,Female,Undergraduate,18-22,Computer and data science,3.2,Sometimes,Both equally,Both equally,Carry out more tasks that goes with job market.,3,3,3,3,3,3,3,3,3
4/23/2026 14:21:35,Female,Undergraduate,18-22,Data science,3,Very often,MCQ exams,Both equally,Carrying out projects that are similar to the job market’s demand ,4,4,4,2,3,3,3,4,4
4/23/2026 14:21:51,Female,Undergraduate,18-22,Computer science ,2.7,Sometimes,MCQ exams,Both equally,Coding,3,3,3,3,4,2,3,3,3
4/23/2026 14:44:40,Male,Undergraduate,18-22,حاسبات وعلوم البيانات ,1.8,Very often,MCQ exams,Written exams,اراعي تصميم امتحانات تتفق مع الماده ,4,4,2,3,2,5,1,5,5
4/23/2026 14:50:39,Female,Undergraduate,18-22,Engineering ,3.77,Very often,Written exams,MCQ exams,Written ,3,5,1,4,5,1,1,2,2
4/23/2026 15:01:06,Male,Postgraduate,18-22,Data Science,3.5,Sometimes,Both equally,Both equally,Both write and MCQ,3,5,3,3,5,5,5,3,5
4/23/2026 16:02:29,Male,Undergraduate,18-22,Data Science ,2.58,Sometimes,MCQ exams,Written exams,MCQ questions,5,1,5,3,2,4,2,5,4
4/23/2026 16:18:04,Male,Postgraduate,18-22,Business administration ,3.5,Very often,Written exams,Both equally,Most will be written but with 2-3 questions mcq,2,4,2,4,5,4,5,2,3
4/23/2026 17:16:00,Male,Undergraduate,18-22,Computer science ,3.3,Very often,Both equally,Written exams,"MCQ 
some written 
Practical ",3,3,3,2,4,5,4,2,3
4/23/2026 17:37:31,Male,High School,Under 18,-,-,Very often,Written exams,Written exams,mcq for hard subject and mixed for rest subjects,2,4,2,4,4,4,4,2,4
4/23/2026 17:40:18,Female,Undergraduate,18-22,Computers and Data Science ,-,Sometimes,MCQ exams,Both equally,"Sufficient time, room for solutions, questions written clearly ",3,4,2,4,3,4,3,5,3
4/23/2026 18:57:25,Male,Undergraduate,18-22,General ,3.0584,Very often,Both equally,Both equally,"MCQ, There are not lots of writen exams",4,2,3,4,3,5,2,4,5
4/23/2026 19:13:03,Male,Undergraduate,18-22,Victoria college ,-,Rearely,MCQ exams,MCQ exams,Full mcq,5,3,5,3,2,5,2,2,1
4/23/2026 19:41:53,Male,Postgraduate,23-28,Pharmacy ,3.9,Very often,Written exams,Written exams,Manily Verbal and practical and little bit  written ,3,4,2,4,4,4,4,4,3
4/23/2026 22:49:41,Female,High School,18-22,data science,2.7,Sometimes,Written exams,Written exams,extra marks,3,4,2,3,4,2,4,2,1
4/24/2026 6:49:50,Male,Undergraduate,18-22,Computer Science,3.8,Very often,Written exams,Written exams,"A hybrid model that uses MCQs for fundamental concepts and a practical, project-based section to test problem-solving skills and coding logic.",5,3,3,4,5,4,5,4,5
4/24/2026 6:50:48,Female,Postgraduate,23-28,Clinical Psychology,3.9,Sometimes,Both equally,Both equally,"Open-book written exams focusing on case studies and ethical dilemmas, where the focus is on critical thinking rather than memorization.",4,4,2,3,5,3,4,5,3
4/24/2026 7:05:04,Female,Undergraduate,18-22,English Literature,3.5,Rearely,Written exams,MCQ exams,Essay-based assessments that allow for creative interpretation and the use of textual evidence to support unique arguments.,2,5,1,4,5,2,5,3,1
4/24/2026 7:07:35,Male,High School,Under 18,-,-,Very often,MCQ exams,MCQ exams,short MCQ quizzes throughout the semester to reduce the weight and pressure of a single final exam.,5,2,4,5,2,5,2,5,2
4/24/2026 12:46:48,Male,Undergraduate,18-22,Data science,2.5,Very often,MCQ exams,Written exams,اجعل جميع الامتحانات mcq وتكون مستوى سهل وليس متوسط,5,1,5,5,1,5,1,5,5
4/24/2026 16:52:21,Female,Undergraduate,18-22,COMPUTER SCIENCE,2.03,Sometimes,MCQ exams,Written exams,I Prefer the mcq exams and the range of the questions between 80-100 the final exams ,4,3,5,3,3,4,3,2,5
